[3,4]((0.996195,0,-0.0871557,0.996195),(0,1,0,-0),(0.0871557,0,0.996195,0.0871557))

(-0.0227796,0.234186)
(-0.302518,-0.0515383)
(-0.157247,-0.234729)
(0.210864,0.252118)
(0.115675,-0.262292)
(0.372115,-0.137911)
(-0.123279,-0.24946)
(-0.181231,-0.244415)
(-0.089187,0.0934092)
(-0.0102144,-0.288091)
(0.158349,0.0565718)
(-0.241245,-0.151531)
(-0.399959,-0.227865)
(0.0116409,-0.310875)
(0.145863,0.148171)
(-0.101071,0.187745)
(-0.288413,0.186819)
(0.123041,0.101539)
(0.0289582,-0.176197)
(-0.234532,-0.11473)
(0.244933,-0.116259)
(0.0648567,0.143527)
(-0.212017,-0.0855606)
(0.368427,0.117088)
(-0.0711003,-0.191754)
(-0.224366,-0.287049)
(-0.201586,0.269581)
(0.110851,0.161303)
(-0.0444775,-0.0220161)
(0.291133,-0.0383068)
(0.285863,-0.289386)
(0.117226,0.202387)
(-0.373112,-0.0319656)
(0.250476,-0.246748)
(0.305528,0.307847)
(-0.0417862,0.160167)
(0.0588375,0.0856585)
(0.129763,0.00823197)
(-0.0581888,-0.282855)
(-0.340733,0.0661033)
(0.315134,-0.149143)
(0.216905,0.304998)
(0.230012,-0.2621)
(-0.376346,-0.24962)
(0.129662,0.0180444)
(0.00349116,0.0895455)
(0.253294,-0.0977228)
(0.12535,0.174206)
(-0.264175,0.26767)
(-0.386411,0.206193)
(0.0495357,-0.252832)
(0.175045,-0.217018)
(-0.168722,0.126945)
(-0.242904,0.155955)
(0.336511,-0.000929911)
(0.111944,-0.28302)
(-0.286207,0.106316)
(0.111001,0.171711)
(0.349364,-0.0660225)
(0.359557,-0.250536)
(-0.0803509,0.204394)
(0.0268205,0.304483)
(-0.164251,0.00230561)
(-0.281182,0.129153)
(0.11528,0.271359)
(-0.372223,-0.107134)
(-0.0394448,0.249663)
(0.199704,0.212702)
(-0.0782529,0.226579)
(-0.380916,0.239409)
(-0.165817,-0.165622)
(-0.0218336,-0.10594)
(-0.353263,-0.220828)
(-0.228275,-0.144929)
(0.408289,-0.145162)
(-0.0730709,0.0209442)
(0.199374,0.219253)
(-0.0991918,0.303465)
(-0.167779,0.227959)
(-0.0835441,0.041151)
(0.239587,-0.120025)
(-0.0595168,0.167613)
(0.333607,0.0994838)
(-0.0153635,-0.291385)
(-0.195891,-0.034633)
(0.307585,0.117)
(-0.0523606,0.197961)
(-0.164964,0.308664)
(0.264828,0.221521)
(0.000566796,0.00809296)
(-0.147245,-0.0768029)
(0.0292992,0.136127)
(-0.0378714,-0.150545)
(0.166289,0.225133)
(0.247311,-0.209142)
(0.00421427,-0.279147)
(0.0226997,0.238791)
(0.214537,0.198465)
(-0.152808,-0.133074)
(-0.291625,0.288669)
(0.192406,0.150748)
(-0.155104,0.104291)
(-0.271563,0.0190879)
(-0.142024,-0.0615409)
(0.231632,-0.114361)
