[3,4]((1,0,0,-0),(0,1,0,-0),(-0,0,1,-1))

(-0.236859,0.0831709)
(-0.287547,0.108558)
(0.208219,-0.0155751)
(0.251346,-0.037534)
(0.101711,0.158512)
(0.104296,0.0582288)
(0.181315,-0.223787)
(-0.0183729,0.0811215)
(0.280821,0.0511286)
(-0.0187872,0.0578322)
(0.318739,0.0815408)
(-0.0170117,0.0137647)
(0.136553,-0.268081)
(-0.324132,0.123858)
(-0.127299,-0.242199)
(0.0228831,0.0929979)
(0.182937,0.118459)
(0.110113,0.0901232)
(0.246832,-0.211847)
(-0.21428,0.147552)
(-0.0960732,0.029277)
(-0.167278,-0.261242)
(0.104297,-0.0318926)
(-0.349924,-0.274575)
(-0.326345,0.190561)
(0.18594,0.0431362)
(-0.283979,0.258917)
(0.0631539,-0.270069)
(0.126765,0.109085)
(-0.00761391,0.112563)
(0.369025,-0.219612)
(0.05421,-0.0362378)
(-0.0954059,0.225591)
(-0.171945,0.0450579)
(-0.322113,-0.0150475)
(-0.325652,0.250313)
(0.00472045,-0.155189)
(0.0113689,0.033177)
(-0.0930182,-0.236805)
(-0.30313,0.0114581)
(-0.161869,-0.238234)
(-0.14941,-0.128844)
(0.133494,-0.133805)
(-0.159453,-0.137875)
(0.0545421,-0.0145501)
(-0.257202,-0.270742)
(-0.228624,0.179944)
(-0.332071,-0.271731)
(0.145695,0.114579)
(0.21116,0.240645)
(-0.160752,0.154454)
(-0.194756,-0.20404)
(-0.00398361,-0.208243)
(-0.105434,-0.0713291)
(0.13963,-0.0479705)
(-0.112199,0.106129)
(-0.327815,-0.149689)
(0.281605,0.235816)
(-0.183483,0.171189)
(-0.308044,-0.139215)
(-0.219043,-0.0700137)
(-0.174959,0.0848789)
(-0.361697,0.130383)
(0.143174,0.265488)
(-0.209456,0.2475)
(-0.340537,0.10417)
(-0.19905,0.144373)
(0.349492,-0.182821)
(0.112609,-0.132983)
(0.0583182,0.159342)
(0.0511307,-0.241764)
(0.0826952,-0.236946)
(0.0853353,-0.251201)
(0.0370994,0.250131)
(-0.280826,0.169457)
(-0.199818,-0.268586)
(-0.33387,0.128025)
(0.253265,-0.171948)
(0.0441013,-0.00351588)
(0.333889,-0.142768)
(0.1625,0.179993)
(-0.0704136,-0.0423604)
(0.0258083,0.211382)
(0.0924113,0.254552)
(-0.229524,0.0512981)
(0.0555641,0.1159)
(-0.049808,-0.0979598)
(-0.345526,0.153067)
(0.0552344,-0.131665)
(-0.248554,0.0276261)
(0.0411818,0.237148)
(-0.156634,0.203094)
(0.380858,-0.12529)
(0.306985,-0.00354145)
(0.24082,-0.17541)
(-0.204325,-0.063137)
(0.196942,-0.190189)
(-0.00777249,-0.222283)
(0.313492,-0.257579)
(0.198651,-0.0152895)
(0.062841,-0.28456)
(-0.271161,-0.260253)
(-0.333842,0.0397783)
(-0.212931,-0.226698)
(-0.233355,-0.165476)
(-0.202643,0.217931)
(-0.0771802,0.152702)
(0.160619,0.0559139)
(0.260415,0.0943039)
(0.345779,-0.14592)
(0.10435,-0.0807506)
(-0.338184,0.121896)
(-0.310957,0.048604)
(-0.162112,-0.162604)
(0.180278,0.0639063)
(0.364641,-0.25218)
(0.273148,-0.273378)
(0.215854,0.237165)
(0.276479,0.0048088)
(-0.372176,-0.0638806)
(-0.363427,0.207728)
(-0.1914,0.0166648)
(-0.220618,-0.0709999)
(0.25385,0.126919)
(-0.310694,-0.120365)
(0.34704,0.257742)
(-0.00364824,0.00776782)
(0.0272586,-0.114893)
(-0.0716857,-0.0836546)
(0.337772,-0.207087)
(0.0584093,-0.0389697)
(0.349057,0.228201)
(0.207501,0.11149)
(-0.090259,-0.181139)
(-0.163878,-0.282208)
(-0.0969882,0.153175)
(-0.00210942,0.219801)
(-0.0528575,-0.0418452)
(-0.350926,0.143457)
(-0.218748,0.0527332)
(0.241676,-0.257318)
(0.307263,-0.0711137)
(-0.248325,0.0713895)
(-0.252771,-0.0953762)
(0.384112,0.080009)
(0.302386,0.262954)
(0.135682,0.163265)
(0.319804,0.10971)
(-0.383987,-0.158682)
(0.346365,-0.289122)
(-0.0764317,-0.0157942)
(0.0935805,-0.104891)
(-0.176088,0.0770209)
(-0.258442,-0.229457)
(-0.121556,0.153934)
(0.361945,0.236095)
(0.0659501,-0.00676434)
(0.00536934,0.186769)
(-0.369874,-0.13139)
(-0.11336,-0.285589)
(-0.107572,0.0883086)
(0.0108494,-0.0830308)
(0.245605,0.269138)
(-0.0150098,-0.263169)
(0.149267,0.0629173)
(0.128245,-0.240072)
(-0.18704,0.129612)
(0.340421,0.179945)
(-0.24635,-0.0476661)
(-0.302178,-0.209807)
(0.0434694,0.214427)
(0.132112,-0.0460146)
(-0.00776238,0.186235)
(-0.319761,0.133366)
(-0.273455,0.102014)
(0.332085,-0.284236)
(0.236582,-0.0470299)
(-0.252653,0.0741295)
(0.300956,-0.0169297)
(0.291639,0.273989)
(-0.342821,-0.117255)
(0.334533,-0.163543)
(0.276592,0.10292)
(-0.125431,0.110869)
(0.10747,0.186925)
(0.146485,-0.0769481)
(-0.024717,0.146873)
(-0.00684149,0.099011)
(-0.1158,-0.0481635)
(0.280755,-0.140666)
(-0.192648,-0.0561423)
(0.176611,0.139251)
(0.227112,0.0420273)
(0.341712,0.214981)
(-0.261612,-0.0502908)
(-0.162946,0.0260157)
(-0.0752204,0.135364)
(0.322096,-0.156458)
(0.344596,-0.273534)
(-0.362484,0.253341)
(0.0547895,-0.254002)
(-0.118679,-0.142932)
(0.133504,-0.198573)
(-0.0438146,0.083099)
(-0.0196569,-0.253282)
(0.293517,-0.0238808)
(-0.284079,0.0137526)
(-0.0943447,0.260894)
(-0.286117,-0.00759455)
(0.286672,0.223328)
(0.234802,-0.0421744)
(0.182881,-0.130974)
(-0.147915,0.160854)
(0.184794,-0.262338)
(0.279376,-0.0817759)
(-0.0688985,0.165627)
(-0.0806896,0.280718)
(-0.228423,-0.257751)
(-0.265863,0.25823)
(0.324626,0.238965)
(-0.0202823,0.163083)
(0.0513021,-0.182504)
(-0.156777,0.209316)
(-0.239994,-0.00832919)
(-0.330987,-0.285962)
(-0.131747,-0.252745)
(-0.304225,-0.221382)
(-0.190076,-0.184509)
(0.278365,-0.0782794)
(0.348957,0.158973)
(0.324975,0.255923)
(0.237058,-0.156682)
(-0.00461209,-0.104884)
(-0.00565971,0.214402)
(0.373401,-0.128031)
(-0.0713001,0.105052)
